Category,Upper Tier Local Authority,Region,Total,Total reached,Percentage reached
People transferred to contact tracing system,Derby,East Midlands,739,600,81
People transferred to contact tracing system,Derbyshire,East Midlands,1827,1490,82
People transferred to contact tracing system,Leicester,East Midlands,5372,4358,81
People transferred to contact tracing system,Leicestershire,East Midlands,2476,2170,88
People transferred to contact tracing system,Lincolnshire,East Midlands,1260,1027,82
People transferred to contact tracing system,Northamptonshire,East Midlands,2879,2230,77
People transferred to contact tracing system,Nottingham,East Midlands,967,778,80
People transferred to contact tracing system,Nottinghamshire,East Midlands,2034,1669,82
People transferred to contact tracing system,Rutland,East Midlands,59,52,88
People transferred to contact tracing system,Bedford,East of England,773,566,73
People transferred to contact tracing system,Cambridgeshire,East of England,877,714,81
People transferred to contact tracing system,Central Bedfordshire,East of England,622,474,76
People transferred to contact tracing system,Essex,East of England,2164,1745,81
People transferred to contact tracing system,Hertfordshire,East of England,2259,1848,82
People transferred to contact tracing system,Luton,East of England,1092,900,82
People transferred to contact tracing system,Milton Keynes,East of England,415,330,80
People transferred to contact tracing system,Norfolk,East of England,930,750,81
People transferred to contact tracing system,Peterborough,East of England,883,729,83
People transferred to contact tracing system,Southend-on-Sea,East of England,420,335,80
People transferred to contact tracing system,Suffolk,East of England,702,562,80
People transferred to contact tracing system,Thurrock,East of England,319,246,77
People transferred to contact tracing system,Barking and Dagenham,London,606,456,75
People transferred to contact tracing system,Barnet,London,819,673,82
People transferred to contact tracing system,Bexley,London,404,327,81
People transferred to contact tracing system,Brent,London,694,550,79
People transferred to contact tracing system,Bromley,London,445,379,85
People transferred to contact tracing system,Camden,London,398,330,83
People transferred to contact tracing system,City of London & Hackney,London,844,622,74
People transferred to contact tracing system,Croydon,London,543,453,83
People transferred to contact tracing system,Ealing,London,855,670,78
People transferred to contact tracing system,Enfield,London,682,530,78
People transferred to contact tracing system,Greenwich,London,450,374,83
People transferred to contact tracing system,Hammersmith and Fulham,London,483,321,66
People transferred to contact tracing system,Haringey,London,567,442,78
People transferred to contact tracing system,Harrow,London,574,470,82
People transferred to contact tracing system,Havering,London,654,553,85
People transferred to contact tracing system,Hillingdon,London,724,591,82
People transferred to contact tracing system,Hounslow,London,764,575,75
People transferred to contact tracing system,Islington,London,427,348,81
People transferred to contact tracing system,Kensington and Chelsea,London,380,283,74
People transferred to contact tracing system,Kingston upon Thames,London,284,231,81
People transferred to contact tracing system,Lambeth,London,640,541,85
People transferred to contact tracing system,Lewisham,London,471,371,79
People transferred to contact tracing system,Merton,London,313,261,83
People transferred to contact tracing system,Newham,London,920,506,55
People transferred to contact tracing system,Redbridge,London,931,706,76
People transferred to contact tracing system,Richmond upon Thames,London,351,298,85
People transferred to contact tracing system,Southwark,London,671,508,76
People transferred to contact tracing system,Sutton,London,279,227,81
People transferred to contact tracing system,Tower Hamlets,London,764,611,80
People transferred to contact tracing system,Waltham Forest,London,590,465,79
People transferred to contact tracing system,Wandsworth,London,704,612,87
People transferred to contact tracing system,Westminster,London,513,320,62
People transferred to contact tracing system,County Durham,North East,1783,1529,86
People transferred to contact tracing system,Darlington,North East,290,241,83
People transferred to contact tracing system,Gateshead,North East,1052,872,83
People transferred to contact tracing system,Hartlepool,North East,461,389,84
People transferred to contact tracing system,Middlesbrough,North East,665,574,86
People transferred to contact tracing system,Newcastle upon Tyne,North East,2243,1850,82
People transferred to contact tracing system,North Tyneside,North East,891,761,85
People transferred to contact tracing system,Northumberland,North East,1286,1098,85
People transferred to contact tracing system,Redcar and Cleveland,North East,371,309,83
People transferred to contact tracing system,South Tyneside,North East,1010,839,83
People transferred to contact tracing system,Stockton-on-Tees,North East,688,576,84
People transferred to contact tracing system,Sunderland,North East,1608,1342,83
People transferred to contact tracing system,Blackburn with Darwen,North West,1984,1705,86
People transferred to contact tracing system,Blackpool,North West,597,476,80
People transferred to contact tracing system,Bolton,North West,3454,2566,74
People transferred to contact tracing system,Bury,North West,1650,1078,65
People transferred to contact tracing system,Cheshire East,North West,1156,974,84
People transferred to contact tracing system,Cheshire West and Chester,North West,1264,1027,81
People transferred to contact tracing system,Cumbria,North West,1090,882,81
People transferred to contact tracing system,Halton,North West,862,706,82
People transferred to contact tracing system,Knowsley,North West,1261,1016,81
People transferred to contact tracing system,Lancashire,North West,7577,5929,78
People transferred to contact tracing system,Liverpool,North West,4282,3379,79
People transferred to contact tracing system,Manchester,North West,5981,3895,65
People transferred to contact tracing system,Oldham,North West,3009,2475,82
People transferred to contact tracing system,Rochdale,North West,2376,1854,78
People transferred to contact tracing system,Salford,North West,2077,1691,81
People transferred to contact tracing system,Sefton,North West,1591,1338,84
People transferred to contact tracing system,St. Helens,North West,1130,975,86
People transferred to contact tracing system,Stockport,North West,1382,1119,81
People transferred to contact tracing system,Tameside,North West,2041,1384,68
People transferred to contact tracing system,Trafford,North West,1398,1213,87
People transferred to contact tracing system,Warrington,North West,1312,1102,84
People transferred to contact tracing system,Wigan,North West,1628,1075,66
People transferred to contact tracing system,Wirral,North West,2247,1855,83
People transferred to contact tracing system,Bracknell Forest,South East,191,156,82
People transferred to contact tracing system,Brighton and Hove,South East,452,366,81
People transferred to contact tracing system,Buckinghamshire,South East,881,749,85
People transferred to contact tracing system,East Sussex,South East,770,633,82
People transferred to contact tracing system,Hampshire,South East,1308,1122,86
People transferred to contact tracing system,Isle of Wight,South East,84,79,94
People transferred to contact tracing system,Kent,South East,3043,2431,80
People transferred to contact tracing system,Medway,South East,329,273,83
People transferred to contact tracing system,Oxfordshire,South East,1265,1033,82
People transferred to contact tracing system,Portsmouth,South East,204,161,79
People transferred to contact tracing system,Reading,South East,272,214,79
People transferred to contact tracing system,Slough,South East,438,317,72
People transferred to contact tracing system,Southampton,South East,331,275,83
People transferred to contact tracing system,Surrey,South East,1821,1519,83
People transferred to contact tracing system,West Berkshire,South East,168,135,80
People transferred to contact tracing system,West Sussex,South East,1099,939,85
People transferred to contact tracing system,Windsor and Maidenhead,South East,332,268,81
People transferred to contact tracing system,Wokingham,South East,200,178,89
People transferred to contact tracing system,Bath and North East Somerset,South West,228,202,89
People transferred to contact tracing system,"Bournemouth, Christchurch and Poole",South West,452,392,87
People transferred to contact tracing system,"Bristol, City of",South West,729,621,85
People transferred to contact tracing system,Cornwall & Isles of Scilly,South West,564,417,74
People transferred to contact tracing system,Devon,South West,558,474,85
People transferred to contact tracing system,Dorset,South West,227,197,87
People transferred to contact tracing system,Gloucestershire,South West,608,503,83
People transferred to contact tracing system,North Somerset,South West,397,335,84
People transferred to contact tracing system,Plymouth,South West,322,276,86
People transferred to contact tracing system,Somerset,South West,539,398,74
People transferred to contact tracing system,South Gloucestershire,South West,344,290,84
