areacode,areaname,urban_rural,gdp_per_capita_band,frac_pop_white,frac_pop_agebin0,frac_pop_agebin10,frac_pop_agebin20,frac_pop_agebin30,frac_pop_agebin40,frac_pop_agebin50,frac_pop_agebin60,frac_pop_agebin70,frac_pop_agebin80,frac_pop_agebin90,frac_pop_below30,frac_pop_above70,clus10,clus30,clus50
E07000223,Adur,4,2,.95195448,.11829462,.10416084,.089171879,.11562024,.13634667,.14177318,.11655316,.10954069,.056379639,.012159094,.31162733,.17807943,6,3,13
E07000026,Allerdale,1,3,.98836899,.09975858,.1035026,.10081223,.10469946,.11754777,.15687017,.13638037,.11428455,.05419616,.011948116,.30407339,.18042882,7,17,19
E07000032,Amber Valley,5,6,.97934341,.10476577,.10248706,.1075127,.11530087,.12845024,.15440562,.12622617,.10610022,.044450339,.010300992,.31476554,.16085155,3,5,42
E07000224,Arun,4,1,.96641225,.10137922,.095257647,.092601232,.10229994,.11216663,.14144318,.13432622,.13502298,.068817928,.016685018,.2892381,.22052594,6,27,48
E07000170,Ashfield,4,3,.97364819,.11990807,.11076194,.11783651,.12923399,.12572406,.14565012,.11117625,.091985025,.040242959,.0074810628,.34850651,.13970904,10,13,11
E07000105,Ashford,3,5,.93104297,.12835422,.12230144,.10456611,.11997877,.13043077,.14501281,.10571976,.093698807,.040592819,.0093445005,.35522178,.14363612,4,11,28
E07000200,Babergh,1,4,.97559386,.09916763,.11069698,.087888204,.097385518,.12198726,.1527829,.13398388,.12379111,.058287874,.014028644,.2977528,.19610763,7,17,37
E09000002,Barking and Dagenham,6,2,.53946817,.17956908,.14204788,.13642064,.16482928,.13869879,.10815762,.065182976,.038404267,.021043435,.0056460286,.45803761,.065093733,6,4,1
E09000003,Barnet,6,5,.62453961,.13656113,.11871202,.12601736,.1609603,.14373513,.12229144,.086626045,.062375907,.033543501,.0091771623,.3812905,.10509657,3,30,33
E08000016,Barnsley,5,3,.97559422,.11788081,.10761216,.11928642,.12875302,.12228803,.14649935,.11755675,.091016255,.041082684,.0080245314,.3447794,.14012347,6,13,23
E07000027,Barrow-in-Furness,3,5,.98164546,.10845709,.10827816,.11607622,.1160464,.11917755,.1515775,.12123516,.10499791,.045684975,.0084690163,.33281147,.1591519,4,11,28
E07000066,Basildon,4,7,.91622734,.13672419,.11707237,.11725398,.13866855,.13043711,.13442196,.098777302,.078639381,.039816462,.0081887087,.37105054,.12664455,9,26,36
E07000084,Basingstoke and Deane,3,10,.91902041,.12833522,.11255946,.10511892,.13640997,.14046998,.14695357,.10275765,.082797281,.03704983,.0075481315,.34601361,.12739524,2,21,10
E07000171,Bassetlaw,2,3,.97065789,.11270244,.10631631,.10649512,.11034383,.12368659,.15336932,.12572163,.10509869,.046899747,.0093663251,.32551387,.16136476,7,17,4
E06000022,Bath and North East Somerset,3,3,.94167405,.10281283,.12246176,.18552147,.10852437,.11219755,.12656434,.100671,.085476451,.04520081,.010569447,.41079605,.14124671,10,12,4
E06000055,Bedford,3,7,.78235477,.13467643,.12094159,.10640459,.13135813,.13420898,.13810436,.10388269,.079454303,.041123718,.0098452233,.36202261,.13042325,4,26,16
E09000004,Bexley,6,6,.79730886,.13044757,.12070125,.12274314,.1419619,.13168398,.13584429,.093294777,.071631379,.041490301,.01020141,.37389195,.12332309,3,30,42
E08000025,Birmingham,6,6,.54242367,.14401568,.13908324,.17789473,.13918307,.11707816,.10943777,.078799151,.055845588,.031561699,.0071009006,.46099365,.094508186,3,30,42
E07000129,Blaby,4,9,.89825952,.11784521,.11262473,.10486294,.13085705,.1282665,.14362262,.11208297,.094195403,.046521477,.0091210855,.33533287,.14983797,9,19,10
E06000008,Blackburn with Darwen,4,3,.66295069,.14435524,.13901171,.12752314,.13901171,.12673497,.12691532,.094673842,.066232949,.030304447,.0052366513,.4108901,.10177404,10,13,11
E06000009,Blackpool,4,2,.96163195,.11991539,.11002044,.11928441,.11521887,.11803678,.15017387,.11603628,.09589503,.045731906,.0096870186,.34922022,.15131396,6,3,13
E07000033,Bolsover,3,8,.97841173,.11089593,.10599232,.11731406,.1223294,.1268854,.15305451,.11933758,.095477514,.040879916,.0078333523,.33420232,.14419079,9,19,12
E08000001,Bolton,6,4,.79694599,.13685429,.12301341,.12226573,.13250034,.12579899,.13324454,.10117752,.081685528,.036341,.0071186628,.38213342,.1251452,3,6,20
