LA Code,LA Name,Region,Number of households1,Number of households in fuel poverty1,Proportion of households fuel poor (%),,
E06000001,Hartlepool,North East,42229,4274,10,,
E06000002,Middlesbrough,North East,59726,7092,12,,
E06000003,Redcar and Cleveland,North East,62277,6385,10,,
E06000004,Stockton-on-Tees,North East,82686,7474,9,,
E06000005,Darlington,North East,48726,4402,9,,
E06000006,Halton,North West,55796,6085,11,,
E06000007,Warrington,North West,89154,8110,9,,
E06000008,Blackburn with Darwen,North West,60022,8793,15,,
E06000009,Blackpool,North West,67472,10280,15,,
E06000010,Kingston upon Hull City of,Yorkshire and The Humber,117714,12445,11,,
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,149715,14027,9,,
E06000012,North East Lincolnshire,Yorkshire and The Humber,72939,7380,10,,
E06000013,North Lincolnshire,Yorkshire and The Humber,73893,7222,10,,
E06000014,York,Yorkshire and The Humber,87374,7408,9,,
E06000015,Derby,East Midlands,108475,12611,12,,
E06000016,Leicester,East Midlands,130856,19078,15,,
E06000017,Rutland,East Midlands,15928,1744,11,,
E06000018,Nottingham,East Midlands,134077,18666,14,,
E06000019,Herefordshire County of,West Midlands,83106,10682,13,,
E06000020,Telford and Wrekin,West Midlands,70543,6607,9,,
E06000021,Stoke-on-Trent,West Midlands,113939,14143,12,,
E06000022,Bath and North East Somerset,South West,80865,7335,9,,
E06000023,Bristol City of,South West,199974,19572,10,,
E06000024,North Somerset,South West,97122,7343,8,,
E06000025,South Gloucestershire,South West,118051,7928,7,,
E06000026,Plymouth,South West,120006,12418,10,,
E06000027,Torbay,South West,64909,6467,10,,
E06000028,Bournemouth,South West,89882,8438,9,,
E06000029,Poole,South West,69575,4868,7,,
E06000030,Swindon,South West,97316,6651,7,,
E06000031,Peterborough,East of England,79276,7547,10,,
E06000032,Luton,East of England,79418,9219,12,,
E06000033,Southend-on-Sea,East of England,79656,7409,9,,
E06000034,Thurrock,East of England,66659,5815,9,,
E06000035,Medway,South East,113834,10291,9,,
E06000036,Bracknell Forest,South East,49285,2544,5,,
E06000037,West Berkshire,South East,66770,4401,7,,
E06000038,Reading,South East,67451,6056,9,,
E06000039,Slough,South East,54341,4815,9,,
E06000040,Windsor and Maidenhead,South East,62509,3829,6,,
E06000041,Wokingham,South East,64764,3498,5,,
E06000042,Milton Keynes,South East,105850,6290,6,,
E06000043,Brighton and Hove,South East,130091,14575,11,,
E06000044,Portsmouth,South East,91464,9859,11,,
E06000045,Southampton,South East,105322,10964,10,,
E06000046,Isle of Wight,South East,65398,7310,11,,
E06000047,County Durham,North East,233658,22919,10,,
E06000048,Northumberland,North East,144722,14182,10,,
E06000049,Cheshire East,North West,167004,16441,10,,
E06000050,Cheshire West and Chester,North West,148163,15769,11,,
E06000051,Shropshire,West Midlands,137012,16826,12,,
E06000052,Cornwall,South West,252948,31826,13,,
E06000053,Isles of Scilly,South West,1104,231,21,,
E06000054,Wiltshire,South West,213598,17540,8,,
E06000055,Bedford,East of England,68164,6900,10,,
E06000056,Central Bedfordshire,East of England,111290,9307,8,,
E07000004,Aylesbury Vale,South East,74608,5517,7,,
E07000005,Chiltern,South East,39609,2509,6,,
E07000006,South Bucks,South East,28372,1604,6,,
E07000007,Wycombe,South East,72739,5405,7,,
E07000008,Cambridge,East of England,49951,5522,11,,
E07000009,East Cambridgeshire,East of England,36914,3661,10,,
E07000010,Fenland,East of England,43134,4660,11,,
E07000011,Huntingdonshire,East of England,73996,6242,8,,
E07000012,South Cambridgeshire,East of England,64070,5324,8,,
E07000026,Allerdale,North West,44283,6091,14,,
E07000027,Barrow-in-Furness,North West,32698,4699,14,,
E07000028,Carlisle,North West,50540,6077,12,,
E07000029,Copeland,North West,32006,4350,14,,
E07000030,Eden,North West,24110,3536,15,,
E07000031,South Lakeland,North West,48798,6123,13,,
E07000032,Amber Valley,East Midlands,55791,5867,11,,
E07000033,Bolsover,East Midlands,34761,3754,11,,
E07000034,Chesterfield,East Midlands,49652,5140,10,,
E07000035,Derbyshire Dales,East Midlands,32734,4130,13,,
E07000036,Erewash,East Midlands,51701,5340,10,,
E07000037,High Peak,East Midlands,41392,4346,11,,
E07000038,North East Derbyshire,East Midlands,45769,4760,10,,
E07000039,South Derbyshire,East Midlands,41348,4067,10,,
E07000040,East Devon,South West,64717,6267,10,,
E07000041,Exeter,South West,54112,5613,10,,
E07000042,Mid Devon,South West,35964,3972,11,,
E07000043,North Devon,South West,43820,5147,12,,
E07000044,South Hams,South West,40445,4383,11,,
E07000045,Teignbridge,South West,59307,5717,10,,
E07000046,Torridge,South West,30662,3854,13,,
E07000047,West Devon,South West,24919,3056,12,,
E07000048,Christchurch,South West,23576,1596,7,,
E07000049,East Dorset,South West,41290,2679,7,,
E07000050,North Dorset,South West,31536,2955,9,,
E07000051,Purbeck,South West,21558,1933,9,,
E07000052,West Dorset,South West,48790,4669,10,,
E07000053,Weymouth and Portland,South West,31382,3050,10,,
E07000061,Eastbourne,South East,48279,4125,9,,
E07000062,Hastings,South East,44005,5051,12,,
E07000063,Lewes,South East,45151,3615,8,,
E07000064,Rother,South East,43778,4650,11,,
E07000065,Wealden,South East,67062,5701,9,,
E07000066,Basildon,East of England,77625,6034,8,,
E07000067,Braintree,East of England,65149,6064,9,,
E07000068,Brentwood,East of England,32703,2439,8,,
E07000069,Castle Point,East of England,38918,3506,9,,
E07000070,Chelmsford,East of England,74369,5855,8,,
E07000071,Colchester,East of England,76699,7195,9,,
E07000072,Epping Forest,East of England,55618,4572,8,,
E07000073,Harlow,East of England,37005,2781,8,,
