local_authority,country,region
Aberdeen City,Scotland,Scotland
Aberdeenshire,Scotland,Scotland
Moray,Scotland,Scotland
St Albans,England,East of England
Welwyn Hatfield,England,East of England
Birmingham,England,West Midlands
Solihull,England,West Midlands
Sandwell,England,West Midlands
North Warwickshire,England,West Midlands
Bromsgrove,England,West Midlands
Stratford-on-Avon,England,West Midlands
Dudley,England,West Midlands
Tamworth,England,West Midlands
Redditch,England,West Midlands
Bath and North East Somerset,England,South West
South Somerset,England,South West
Mendip,England,South West
Wiltshire,England,South West
Blackburn with Darwen,England,North West
Burnley,England,North West
Pendle,England,North West
Rossendale,England,North West
Hyndburn,England,North West
Ribble Valley,England,North West
Bradford,England,Yorkshire and The Humber
Leeds,England,Yorkshire and The Humber
Kirklees,England,Yorkshire and The Humber
Craven,England,Yorkshire and The Humber
"Bournemouth, Christchurch and Poole",England,South West
Dorset,England,South West
New Forest,England,South East
Bury,England,North West
Bolton,England,North West
Brighton and Hove,England,South East
Lewes,England,South East
Worthing,England,South East
Adur,England,South East
Arun,England,South East
Eastbourne,England,South East
Wealden,England,South East
Horsham,England,South East
Mid Sussex,England,South East
Bromley,England,London
Sevenoaks,England,South East
"Bristol, City of",England,South West
South Gloucestershire,England,South West
North Somerset,England,South West
Sedgemoor,England,South West
Belfast,Northern Ireland,Northern Ireland
Lisburn and Castlereagh,Northern Ireland,Northern Ireland
Ards and North Down,Northern Ireland,Northern Ireland
"Newry, Mourne and Down",Northern Ireland,Northern Ireland
"Armagh City, Banbridge and Craigavon",Northern Ireland,Northern Ireland
Antrim and Newtownabbey,Northern Ireland,Northern Ireland
Mid and East Antrim,Northern Ireland,Northern Ireland
Mid Ulster,Northern Ireland,Northern Ireland
Derry City and Strabane,Northern Ireland,Northern Ireland
Causeway Coast and Glens,Northern Ireland,Northern Ireland
Fermanagh and Omagh,Northern Ireland,Northern Ireland
Carlisle,England,North West
Eden,England,North West
Allerdale,England,North West
Copeland,England,North West
Cambridge,England,East of England
Uttlesford,England,East of England
South Cambridgeshire,England,East of England
East Cambridgeshire,England,East of England
West Suffolk,England,East of England
Cardiff,Wales,Wales
Bridgend,Wales,Wales
Rhondda Cynon Taf,Wales,Wales
Merthyr Tydfil,Wales,Wales
Vale of Glamorgan,Wales,Wales
Caerphilly,Wales,Wales
Cheshire West and Chester,England,North West
Wirral,England,North West
Flintshire,Wales,Wales
Maldon,England,East of England
Chelmsford,England,East of England
Basildon,England,East of England
Brentwood,England,East of England
Epping Forest,England,East of England
Harlow,England,East of England
East Hertfordshire,England,East of England
Braintree,England,East of England
Colchester,England,East of England
Babergh,England,East of England
Tendring,England,East of England
Croydon,England,London
Tandridge,England,South East
Merton,England,London
Sutton,England,London
Canterbury,England,South East
Thanet,England,South East
Dover,England,South East
Folkestone and Hythe,England,South East
Coventry,England,West Midlands
Nuneaton and Bedworth,England,West Midlands
Hinckley and Bosworth,England,East Midlands
Rugby,England,West Midlands
Warwick,England,West Midlands
Cheshire East,England,North West
Newcastle-under-Lyme,England,West Midlands
Dartford,England,South East
Gravesham,England,South East
Bexley,England,London
Dundee City,Scotland,Scotland
Angus,Scotland,Scotland
Fife,Scotland,Scotland
Derby,England,East Midlands
South Derbyshire,England,East Midlands
North West Leicestershire,England,East Midlands
East Staffordshire,England,West Midlands
Derbyshire Dales,England,East Midlands
Amber Valley,England,East Midlands
Erewash,England,East Midlands
Dumfries and Galloway,England,Scotland
County Durham,England,North East
Gateshead,England,North East
Sunderland,England,North East
Darlington,England,North East
Richmondshire,England,Yorkshire and The Humber
Hambleton,England,Yorkshire and The Humber
Doncaster,England,Yorkshire and The Humber
Bassetlaw,England,East Midlands
East Riding of Yorkshire,England,Yorkshire and The Humber
North Lincolnshire,England,Yorkshire and The Humber
West Lindsey,England,East Midlands
North East Lincolnshire,England,Yorkshire and The Humber
Wyre Forest,England,West Midlands
Shropshire,England,West Midlands
South Staffordshire,England,West Midlands
Tower Hamlets,England,London
Waltham Forest,England,London
Newham,England,London
Redbridge,England,London
Hackney,England,London
City of London,England,London
Islington,England,London
Camden,England,London
City of Edinburgh,Scotland,Scotland
Midlothian,Scotland,Scotland
East Lothian,Scotland,Scotland
West Lothian,Scotland,Scotland
Scottish Borders,England,Scotland
Falkirk,Scotland,Scotland
Enfield,England,London
Broxbourne,England,East of England
Barnet,England,London
Hertsmere,England,East of England
Exeter,England,South West
East Devon,England,South West
Mid Devon,England,South West
Torridge,England,South West
West Devon,England,South West
Cornwall,England,South West
North Devon,England,South West
Teignbridge,England,South West
Clackmannanshire,Scotland,Scotland
Stirling,Scotland,Scotland
Blackpool,England,North West
Wyre,England,North West
Fylde,England,North West
Glasgow City,Scotland,Scotland
East Renfrewshire,Scotland,Scotland
West Dunbartonshire,Scotland,Scotland
East Dunbartonshire,Scotland,Scotland
North Lanarkshire,Scotland,Scotland
South Lanarkshire,Scotland,Scotland
Argyll and Bute,Scotland,Scotland
Gloucester,England,South West
Stroud,England,South West
Forest of Dean,England,South West
Tewkesbury,England,South West
Cheltenham,England,South West
Cotswold,England,South West
Guildford,England,South East
Waverley,England,South East
Rushmoor,England,South East
Surrey Heath,England,South East
Hart,England,South East
Woking,England,South East
Runnymede,England,South East
