Category,Upper Tier Local Authority,Region,Total,Total reached,Percentage reached,Start date,End date
People transferred to contact tracing system,Barking and Dagenham,London,8871,7701,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Barnet,London,10830,9059,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Barnsley,Yorkshire and The Humber,11063,9405,85,28/05/2020,23/12/2020
People transferred to contact tracing system,Bath and North East Somerset,South West,3989,3338,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Bedford,East of England,4359,3728,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Bexley,London,8837,7692,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Birmingham,West Midlands,47731,36670,77,28/05/2020,23/12/2020
People transferred to contact tracing system,Blackburn with Darwen,North West,10798,9392,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Blackpool,North West,5574,4897,88,28/05/2020,23/12/2020
People transferred to contact tracing system,Bolton,North West,16155,14834,92,28/05/2020,23/12/2020
People transferred to contact tracing system,"Bournemouth, Christchurch and Poole",South West,8007,6589,82,28/05/2020,23/12/2020
People transferred to contact tracing system,Bracknell Forest,South East,2500,2230,89,28/05/2020,23/12/2020
People transferred to contact tracing system,Bradford,Yorkshire and The Humber,31814,26384,83,28/05/2020,23/12/2020
People transferred to contact tracing system,Brent,London,8964,7559,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Brighton and Hove,South East,4857,4107,85,28/05/2020,23/12/2020
People transferred to contact tracing system,"Bristol, City of",South West,16902,13894,82,28/05/2020,23/12/2020
People transferred to contact tracing system,Bromley,London,8850,8015,91,28/05/2020,23/12/2020
People transferred to contact tracing system,Buckinghamshire,South East,11747,10043,85,28/05/2020,23/12/2020
People transferred to contact tracing system,Bury,North West,10662,8802,83,28/05/2020,23/12/2020
People transferred to contact tracing system,Calderdale,Yorkshire and The Humber,9208,8678,94,28/05/2020,23/12/2020
People transferred to contact tracing system,Cambridgeshire,East of England,8656,7644,88,28/05/2020,23/12/2020
People transferred to contact tracing system,Camden,London,5403,4690,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Central Bedfordshire,East of England,5612,5027,90,28/05/2020,23/12/2020
People transferred to contact tracing system,Cheshire East,North West,9769,8229,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Cheshire West and Chester,North West,11151,9058,81,28/05/2020,23/12/2020
People transferred to contact tracing system,City of London & Hackney,London,9100,7697,85,28/05/2020,23/12/2020
People transferred to contact tracing system,Cornwall & Isles of Scilly,South West,4005,3294,82,28/05/2020,23/12/2020
People transferred to contact tracing system,County Durham,North East,19946,16951,85,28/05/2020,23/12/2020
People transferred to contact tracing system,Coventry,West Midlands,10205,8333,82,28/05/2020,23/12/2020
People transferred to contact tracing system,Croydon,London,9628,7897,82,28/05/2020,23/12/2020
People transferred to contact tracing system,Cumbria,North West,10694,8921,83,28/05/2020,23/12/2020
People transferred to contact tracing system,Darlington,North East,3720,3110,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Derby,East Midlands,8913,7497,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Derbyshire,East Midlands,24053,20832,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Devon,South West,10601,8772,83,28/05/2020,23/12/2020
People transferred to contact tracing system,Doncaster,Yorkshire and The Humber,13614,11421,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Dorset,South West,3700,3153,85,28/05/2020,23/12/2020
People transferred to contact tracing system,Dudley,West Midlands,12258,10389,85,28/05/2020,23/12/2020
People transferred to contact tracing system,Ealing,London,10673,8819,83,28/05/2020,23/12/2020
People transferred to contact tracing system,East Riding of Yorkshire,Yorkshire and The Humber,10721,9489,89,28/05/2020,23/12/2020
People transferred to contact tracing system,East Sussex,South East,10387,8981,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Enfield,London,11460,9590,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Essex,East of England,41566,36524,88,28/05/2020,23/12/2020
People transferred to contact tracing system,Gateshead,North East,7954,6618,83,28/05/2020,23/12/2020
People transferred to contact tracing system,Gloucestershire,South West,9862,8358,85,28/05/2020,23/12/2020
People transferred to contact tracing system,Greenwich,London,7528,6615,88,28/05/2020,23/12/2020
People transferred to contact tracing system,Halton,North West,4987,4204,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Hammersmith and Fulham,London,5116,3891,76,28/05/2020,23/12/2020
People transferred to contact tracing system,Hampshire,South East,20334,17508,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Haringey,London,7828,6408,82,28/05/2020,23/12/2020
People transferred to contact tracing system,Harrow,London,7511,6644,88,28/05/2020,23/12/2020
People transferred to contact tracing system,Hartlepool,North East,4574,3833,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Havering,London,12836,12000,93,28/05/2020,23/12/2020
People transferred to contact tracing system,"Herefordshire, County of",West Midlands,2555,2185,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Hertfordshire,East of England,27516,24573,89,28/05/2020,23/12/2020
People transferred to contact tracing system,Hillingdon,London,9314,8046,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Hounslow,London,7906,6557,83,28/05/2020,23/12/2020
People transferred to contact tracing system,Isle of Wight,South East,918,796,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Islington,London,5977,5048,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Kensington and Chelsea,London,3541,2902,82,28/05/2020,23/12/2020
People transferred to contact tracing system,Kent,South East,54149,46877,87,28/05/2020,23/12/2020
People transferred to contact tracing system,"Kingston upon Hull, City of",Yorkshire and The Humber,11533,10090,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Kingston upon Thames,London,4965,4459,90,28/05/2020,23/12/2020
People transferred to contact tracing system,Kirklees,Yorkshire and The Humber,21379,17665,83,28/05/2020,23/12/2020
People transferred to contact tracing system,Knowsley,North West,7959,6686,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Lambeth,London,8631,7439,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Lancashire,North West,53891,46677,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Leeds,Yorkshire and The Humber,37766,30836,82,28/05/2020,23/12/2020
People transferred to contact tracing system,Leicester,East Midlands,19617,16806,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Leicestershire,East Midlands,22693,20386,90,28/05/2020,23/12/2020
People transferred to contact tracing system,Lewisham,London,6845,5950,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Lincolnshire,East Midlands,22067,18775,85,28/05/2020,23/12/2020
People transferred to contact tracing system,Liverpool,North West,26155,20683,79,28/05/2020,23/12/2020
People transferred to contact tracing system,Luton,East of England,7929,7234,91,28/05/2020,23/12/2020
People transferred to contact tracing system,Manchester,North West,31818,26697,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Medway,South East,13229,11749,89,28/05/2020,23/12/2020
People transferred to contact tracing system,Merton,London,5522,4839,88,28/05/2020,23/12/2020
People transferred to contact tracing system,Middlesbrough,North East,6108,5050,83,28/05/2020,23/12/2020
People transferred to contact tracing system,Milton Keynes,South East,7221,6494,90,28/05/2020,23/12/2020
People transferred to contact tracing system,Newcastle upon Tyne,North East,14817,12246,83,28/05/2020,23/12/2020
People transferred to contact tracing system,Newham,London,12906,10270,80,28/05/2020,23/12/2020
People transferred to contact tracing system,Norfolk,East of England,13107,11956,91,28/05/2020,23/12/2020
People transferred to contact tracing system,North East Lincolnshire,Yorkshire and The Humber,5966,5257,88,28/05/2020,23/12/2020
People transferred to contact tracing system,North Lincolnshire,Yorkshire and The Humber,5477,4856,89,28/05/2020,23/12/2020
People transferred to contact tracing system,North Somerset,South West,4748,4104,86,28/05/2020,23/12/2020
People transferred to contact tracing system,North Tyneside,North East,7397,6324,85,28/05/2020,23/12/2020
People transferred to contact tracing system,North Yorkshire,Yorkshire and The Humber,14682,12987,88,28/05/2020,23/12/2020
People transferred to contact tracing system,Northamptonshire,East Midlands,18198,16147,89,28/05/2020,23/12/2020
People transferred to contact tracing system,Northumberland,North East,9590,8145,85,28/05/2020,23/12/2020
People transferred to contact tracing system,Nottingham,East Midlands,17316,14281,82,28/05/2020,23/12/2020
People transferred to contact tracing system,Nottinghamshire,East Midlands,27261,23276,85,28/05/2020,23/12/2020
People transferred to contact tracing system,Oldham,North West,15818,14624,92,28/05/2020,23/12/2020
People transferred to contact tracing system,Oxfordshire,South East,12953,11495,89,28/05/2020,23/12/2020
People transferred to contact tracing system,Peterborough,East of England,5796,5308,92,28/05/2020,23/12/2020
People transferred to contact tracing system,Plymouth,South West,4163,3642,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Portsmouth,South East,5559,4856,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Reading,South East,3708,3259,88,28/05/2020,23/12/2020
People transferred to contact tracing system,Redbridge,London,13999,11352,81,28/05/2020,23/12/2020
People transferred to contact tracing system,Redcar and Cleveland,North East,4885,4115,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Richmond upon Thames,London,4512,3957,88,28/05/2020,23/12/2020
People transferred to contact tracing system,Rochdale,North West,13814,11995,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Rotherham,Yorkshire and The Humber,12171,10229,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Rutland,East Midlands,608,546,90,28/05/2020,23/12/2020
People transferred to contact tracing system,Salford,North West,14215,11456,81,28/05/2020,23/12/2020
People transferred to contact tracing system,Sandwell,West Midlands,14436,12424,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Sefton,North West,10908,8863,81,28/05/2020,23/12/2020
People transferred to contact tracing system,Sheffield,Yorkshire and The Humber,27116,21981,81,28/05/2020,23/12/2020
People transferred to contact tracing system,Shropshire,West Midlands,6199,5236,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Slough,South East,5632,4723,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Solihull,West Midlands,6852,5655,83,28/05/2020,23/12/2020
People transferred to contact tracing system,Somerset,South West,7244,6315,87,28/05/2020,23/12/2020
People transferred to contact tracing system,South Gloucestershire,South West,7558,6479,86,28/05/2020,23/12/2020
People transferred to contact tracing system,South Tyneside,North East,6616,5545,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Southampton,South East,4325,3680,85,28/05/2020,23/12/2020
People transferred to contact tracing system,Southend-on-Sea,East of England,5651,4923,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Southwark,London,7614,6465,85,28/05/2020,23/12/2020
People transferred to contact tracing system,St. Helens,North West,7730,6636,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Staffordshire,West Midlands,30599,26204,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Stockport,North West,11175,10100,90,28/05/2020,23/12/2020
People transferred to contact tracing system,Stockton-on-Tees,North East,8665,7319,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Stoke-on-Trent,West Midlands,11541,9894,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Suffolk,East of England,9364,7721,82,28/05/2020,23/12/2020
People transferred to contact tracing system,Sunderland,North East,11493,9640,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Surrey,South East,25372,21705,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Sutton,London,5205,4458,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Swindon,South West,4583,4223,92,28/05/2020,23/12/2020
People transferred to contact tracing system,Tameside,North West,10835,9115,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Telford and Wrekin,West Midlands,4805,4052,84,28/05/2020,23/12/2020
People transferred to contact tracing system,Thurrock,East of England,7395,6332,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Torbay,South West,1982,1698,86,28/05/2020,23/12/2020
People transferred to contact tracing system,Tower Hamlets,London,12058,10529,87,28/05/2020,23/12/2020
People transferred to contact tracing system,Trafford,North West,9463,8607,91,28/05/2020,23/12/2020
