area_code,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63,sc_64,sc_65,sc_66,sc_67,sc_68,sc_69,sc_70,sc_71,sc_72,sc_73,sc_74,sc_75,sc_76,sc_77,sc_78,sc_79,sc_80,sc_81,sc_82,sc_83,sc_84,sc_85,sc_86,sc_87,sc_88,sc_89,sc_90,sc_91,sc_92,sc_93,sc_94,sc_95,sc_96,sc_97,sc_98,sc_99,sc_100,sc_101,sc_102,sc_103,sc_104,sc_105,sc_106,sc_107,sc_108,sc_109,sc_110,sc_111,sc_112,sc_113,sc_114,sc_115,sc_116,sc_117,sc_118,sc_119,sc_120,sc_121,sc_122,sc_123,sc_124,sc_125,sc_126,sc_127,sc_128,sc_129,sc_130,sc_131,sc_132,sc_133,sc_134,sc_135,sc_136,sc_137,sc_138,sc_139,sc_140,sc_141,sc_142,sc_143,sc_144,sc_145,sc_146,sc_147,sc_148,sc_149,sc_150,sc_151,sc_152,sc_153,sc_154,sc_155,sc_156,sc_157,sc_158,sc_159,sc_160,sc_161,sc_162,sc_163,sc_164,sc_165,sc_166,sc_167,sc_168,sc_169,sc_170,sc_171,sc_172,sc_173,sc_174,sc_175,sc_176,sc_177,sc_178,sc_179,sc_180,sc_181,sc_182,sc_183,sc_184,sc_185,sc_186,sc_187,sc_188,sc_189,sc_190,sc_191,sc_192,sc_193,sc_194,sc_195,sc_196,sc_197,sc_198,sc_199,sc_200,sc_201,sc_202,sc_203,sc_204,sc_205,sc_206,sc_207,sc_208,sc_209,sc_210,sc_211,sc_212,sc_213,sc_214,sc_215,sc_216,sc_217,sc_218,sc_219,sc_220,sc_221,sc_222,sc_223,sc_224,sc_225,sc_226,sc_227,sc_228,sc_229,sc_230,sc_231,sc_232,sc_233,sc_234,sc_235,sc_236,sc_237,sc_238,sc_239,sc_240,sc_241,sc_242,sc_243,sc_244,sc_245,sc_246,sc_247,sc_248,sc_249,sc_250,sc_251,sc_252,sc_253,sc_254,sc_255,sc_256,sc_257,sc_258,sc_259,sc_260,sc_261,sc_262,sc_263,sc_264,sc_265,sc_266,sc_267,sc_268,sc_269,sc_270,sc_271,sc_272,sc_273,sc_274,sc_275,sc_276,sc_277,sc_278,sc_279,sc_280,sc_281,sc_282,sc_283,sc_284,sc_285,sc_286,sc_287,sc_288,sc_289,sc_290,sc_291,sc_292,sc_293,sc_294,sc_295,sc_296,sc_297,sc_298,sc_299,sc_300,sc_301,sc_302,sc_303,sc_304,sc_305,sc_306,sc_307,sc_308,sc_309,sc_310,sc_311,sc_312,areacode,areaname
1,,0,0.050000001,0.001,0.003,0,0,0,0.296,0.236,0.001,0,0,0,0.001,0,0,0,0,0,0.002,0,0,0.001,0,0,0,0,0,0,0.24600001,0,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0.003,0,0,0.008,0,0,0.001,0,0.002,0,0,0.057,0,0,0.145,0.001,0,0,0,0.001,0.001,0.007,0,0.001,0,0,0.001,0,0,0.001,0,0.001,0,0,0.004,0,0,0.017000001,0,0,0,0.003,0,0.003,0,0,0.002,0,0,0.018999999,0,0.004,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0.2,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0.131,0,0,0.002,0,0,0.001,0,0,0.001,0,0.233,0,0.002,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0.27500001,0.001,0,0.523,0,0.002,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0.054000001,0.001,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0.002,0,0,0.001,0.001,0.001,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E06000001,Hartlepool
2,0.002,,0,0,0,0,0,0,0.001,0,0,0,0,0,0.301,0,0,0.050999999,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074000001,0.001,0,0,0.004,0,0.052000001,0.30599999,0,0,0,0,0.004,0,0,0.123,0,0.001,0,0,0.001,0.001,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0.002,0.024,0,0.002,0,0,0,0.003,0,0,0,0,0.002,0,0,0.001,0,0.003,0.15000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.18099999,0,0.002,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0.041000001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0.17900001,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0.001,0.001,0,0.015,0.002,0.002,0,0.001,0.016000001,0,0,0,0,0,0,0,0.26199999,0,0.009,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0.035,0.204,0,0,0,0.105,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E06000002,Middlesbrough
3,0,0,,0.002,0.004,0,0,0,0.19400001,0,0.001,0,0,0.001,0.001,0,0,0,0.002,0.001,0.002,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.001,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.003,0,0,0.001,0.001,0,0,0.005,0,0,0,0,0.004,0,0,0.068999998,0,0,0.001,0.001,0,0,0,0.001,0.001,0.014,0,0,0,0,0.001,0,0,0.001,0,0.001,0,0,0.003,0,0,0.050000001,0,0.002,0,0.001,0,0.003,0,0,0.003,0,0,0.012,0,0.004,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0.090000004,0,0,0,0.001,0.001,0,0,0,0.13500001,0.001,0,0,0,0,0,0,0.001,0,0,0.002,0,0,0.001,0,0,0.001,0,0.002,0,0.001,0,0,0.008,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0,0.003,0.001,0.002,0,0,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E06000003,Redcar and Cleveland
4,0,0,0,,0.002,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0.001,0.003,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.002,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0.002,0,0,0.001,0,0.002,0,0,0.003,0,0,0.001,0,0.002,0,0,0,0,0,0,0.003,0,0,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0,0.001,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0.003,0,0,0,0,0,0,0.001,0,0,0,0.001,0.002,0.002,0,0,0.001,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E06000004,Stockton-on-Tees
5,0,0,0,0.001,,0,0,0,0,0,0.001,0,0.001,0.001,0.001,0,0,0,0,0.001,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.002,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0.002,0,0,0.001,0,0.001,0,0,0.002,0,0,0.001,0,0.001,0,0.001,0,0,0,0,0.002,0,0,0,0,0.002,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.002,0,0,0.001,0,0,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0.002,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0.002,0.002,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E06000005,Darlington
6,0,0,0,0.001,0.067000002,,0.46000001,0,0,0,0.001,0,0.077,0.001,0.001,0,0,0,0.067000002,0,0.002,0,0,0.002,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.081,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.054000001,0,0,0.050999999,0,0,0.001,0,0,0,0,0.006,0,0,0.001,0.001,0.139,0,0,0.081,0.001,0,0,0.001,0,0.001,0.004,0,0,0.001,0,0.002,0,0,0.003,0,0,0.001,0,0.001,0,0.001,0,0,0,0,0.002,0,0,0,0,0.002,0.001,0,0,0,0,0,0.001,0,0,0.001,0,0.050999999,0,0,0,0,0,0.021,0.003,0,0,0,0,0.001,0,0,0,0.249,0,0,0.002,0.001,0,0.002,0,0,0.001,0,0,0.001,0,0.214,0.001,0.002,0,0,0.075999998,0.001,0.002,0,0,0,0,0,0.026000001,0,0.127,0.001,0,0,0,0.002,0,0.017999999,0,0.002,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0.002,0,0,0,0,0,0,0.003,0.001,0,0,0.002,0.003,0.001,0,0,0.002,0.002,0.017000001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E06000006,Halton
7,0,0,0,0.001,0.002,0,,0,0,0,0.001,0,0.002,0.001,0.001,0,0,0,0,0.001,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0.003,0,0,0.001,0,0,0,0,0.002,0,0,0.001,0,0.001,0,0,0.003,0.001,0,0,0.001,0,0.001,0.002,0,0,0.001,0,0.002,0,0,0.002,0,0,0.001,0,0.001,0,0.001,0,0,0,0,0.002,0,0,0,0,0.001,0.001,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.002,0,0,0.001,0,0,0.001,0,0,0,0.002,0,0,0.001,0.001,0.002,0,0,0,0,0,0,0,0,0.001,0,0,0,0.002,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0.002,0,0,0,0,0,0,0.002,0.001,0,0,0.001,0.002,0.001,0,0,0.002,0.002,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E06000007,Warrington
8,0,0,0,0.001,0,0,0,,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0,0.003,0,0,0.001,0,0.005,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.004,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E06000008,Blackburn with Darwen
9,0,0,0,0.001,0.002,0,0,0,,0,0.001,0,0,0.001,0.001,0,0,0,0,0.001,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.003,0,0,0,0,0,0,0,0.005,0,0,0.001,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0.001,0,0,0.001,0,0.001,0,0,0.003,0,0,0.002,0,0.001,0,0.002,0,0,0,0,0.002,0,0,0.001,0,0.003,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0.002,0,0,0.002,0,0,0.001,0,0,0.001,0,0,0,0.002,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0.002,0.002,0,0,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E06000009,Blackpool
10,0,0,0,0.002,0.002,0,0,0.001,0.001,,0,0,0.001,0.001,0.001,0,0,0,0,0.001,0.003,0,0,0.001,0,0,0,0,0.001,0,0,0,0.382,0,0,0,0,0,0,0,0.043000001,0.54299998,0.24699999,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.002,0.36300001,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0.001,0,0,0.001,0,0.001,0,0,0.007,0,0,0.001,0,0.004,0,0,0.061000001,0,0,0,0.004,0,0,0.001,0,0.002,0.002,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0,0,0,0.001,0,0.003,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0.002,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0.005,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E06000010,"Kingston upon Hull, City of"
